rows,cols,vehicles,hub_ratio,variance,method,iteration,best_fitness
15,15,10,0.0,0.1,qpso,19,257965.3167
15,15,10,0.0,0.1,qpso,20,257965.3167
15,15,10,0.0,0.1,pso,0,258711.4079
15,15,10,0.0,0.1,pso,1,258628.8788
15,15,10,0.0,0.1,pso,2,258628.8788
15,15,10,0.0,0.1,pso,3,258582.4219
15,15,10,0.0,0.1,pso,4,258402.5622
15,15,10,0.0,0.1,pso,5,258339.7534
15,15,10,0.0,0.1,pso,6,258312.2576
15,15,10,0.0,0.1,pso,7,258206.5574
15,15,10,0.0,0.1,pso,8,258202.8708
15,15,10,0.0,0.1,pso,9,258202.8708
15,15,10,0.0,0.1,pso,10,258149.279
15,15,10,0.0,0.1,pso,11,258143.3015
15,15,10,0.0,0.1,pso,12,258143.3015
15,15,10,0.0,0.1,pso,13,258143.3015
15,15,10,0.0,0.1,pso,14,258143.3015
15,15,10,0.0,0.1,pso,15,258143.3015
15,15,10,0.0,0.1,pso,16,258143.3015
15,15,10,0.0,0.1,pso,17,258143.3015
15,15,10,0.0,0.1,pso,18,258143.3015
15,15,10,0.0,0.1,pso,19,258143.3015
